,distance,pref_speed
322,111708.80458331268,97.30090229165825
323,108647.7725688146,99.81338628440517
312,108334.53477883815,102.18676738942295
350,105408.24141616441,99.85712070808184
374,115546.13674308671,100.35956837154636
352,91283.60293272148,98.24530146635948
379,110283.68848788402,101.23734424394156
380,99443.07268427146,96.43003634213703
381,105633.23428874335,101.46111714437266
382,87523.60829732922,99.47880414866488
383,118538.12019340928,100.80156009670483
384,96010.1127314201,101.19705636571123
385,101212.799346509,97.56989967325542
386,93523.48863070768,99.79074431535463
387,127435.09005097345,101.3100450254879
388,102149.76210271755,103.91888105135898
389,105319.71622374956,99.39385811187576
390,114562.83805253755,99.72191902626707
391,97474.45667508553,102.72422833754453
392,106138.83047299394,102.26591523649941
393,106508.25425276361,100.02162712638378
394,123936.09728518994,102.09854864259688
395,97101.15421332937,100.4810771066632
396,75228.9536795254,98.15147683976457
397,111733.02285861845,100.04201142931024
398,102936.32216126232,99.50016108062854
399,111473.08578293497,101.17504289146785
378,127029.83617481015,101.63941808740584
377,85688.61810155696,101.78280905077747
376,91393.22948851934,99.31211474426077
375,99577.75829990709,101.04737914995421
353,100124.74267387974,101.75837133694145
354,124076.51711944559,100.23825855972424
355,102512.1735564339,99.5345867782181
356,108808.0245876678,99.61851229383512
357,84787.15796719586,99.61757898359802
358,91856.41099129926,99.9162054956491
359,114541.125127753,100.30356256387911
360,107519.52850665186,99.40876425332463
361,110511.65204665373,100.57582602332636
362,95380.59303309137,101.8957965165439
351,96875.56393220117,97.75078196610214
363,102205.17843355807,98.92658921678088
365,98863.44926275237,100.41922463137756
366,119187.51357683657,98.45175678841956
367,100056.3335960641,98.23316679803096
368,102497.19664745448,99.45409832372756
369,78782.14953764934,99.87857476882544
370,102407.29473316473,99.27764736658027
371,133953.4716454506,98.50673582272617
372,92959.69163858006,101.66784581928735
373,103584.17715000644,98.70408857500476
301,88560.64266217548,101.63232133108916
364,95673.02106832886,101.3950105341634
300,135862.5462564927,100.41477312824712
249,111105.76046652693,101.42338023326624
298,106581.35834779545,100.34317917389566
226,126665.62287112865,100.67731143556695
227,111000.33016748002,100.743165083741
228,82039.07109750056,102.30503554875001
229,121466.95086742222,98.12947543370846
230,88179.13611972939,100.91456805986564
231,124222.64980065776,99.72132490033097
232,124965.60719328941,99.37580359664258
233,132198.80637714104,103.39740318856697
234,127954.49238612963,99.71274619306385
235,123405.21155321163,100.3901057766079
236,96980.8605874057,96.42593029370289
237,130688.59193319984,101.29129596660258
238,130196.40887304101,103.71520443651902
239,124310.51093498342,98.24675546748952
240,130015.94320468353,99.32797160234435
241,106870.14037521156,98.9385701876083
242,109531.65721816993,98.58132860908394
243,121992.74001544545,101.1268700077235
244,97964.37504463161,100.96068752231645
245,122783.2252069583,100.09511260348104
246,108270.19746100664,99.21809873050194
225,123806.2507181598,99.84912535908131
224,113706.28799742136,98.67364399870941
223,97615.75214075048,98.16187607037678
222,104925.59980650929,99.31079990325571
299,136513.24984202013,98.90312492100973
201,91442.9951963956,98.52249759819645
202,134625.77821782712,99.89338910891496
203,91715.24409854342,101.60512204927302
204,117459.07165252106,100.20253582625892
205,140351.62684347833,99.00731342173889
206,135672.28270283973,100.78864135141826
207,112080.73733240651,99.7383686662014
208,129005.28652809643,103.01864326404991
209,132453.60454600322,100.82680227300077
247,130962.75290514361,99.86237645257353
210,115304.26870455689,98.8231343522786
212,108671.2227763728,100.23261138818697
213,104134.05818421673,103.48752909210879
214,107846.75065241492,99.70737532620545
215,108508.80103155783,101.03640051578229
216,114697.47172190953,100.92223586095352
217,124066.02699011161,103.84451349505434
218,120129.54294864321,97.6982714743244
219,114224.47593247198,102.260737966234
220,135223.60834859565,100.97380417429912
